mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
22.295645904541015,0.41976009896399435,0.5179471015930176,0.01740818372418639,25,1.0,3,2,300,"{'model__max_depth': 25, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-0.021755535509084732,-0.021449243526603944,-0.021536279243110773,-0.021284791513542376,-0.021703072398837054,-0.021545784438235772,0.0001710338079827946,34,-0.014571379226739277,-0.014585435489815137,-0.014580112691673558,-0.014617587640622046,-0.01454822102440615,-0.014580547214651235,2.2472702456582683e-05
22.246980476379395,0.41554730148310454,0.5538323879241943,0.053376168486112666,25,1.0,3,5,300,"{'model__max_depth': 25, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-0.021755535509084732,-0.021449243526603944,-0.021536279243110773,-0.021284791513542376,-0.021703072398837054,-0.021545784438235772,0.0001710338079827946,34,-0.014571379226739277,-0.014585435489815137,-0.014580112691673558,-0.014617587640622046,-0.01454822102440615,-0.014580547214651235,2.2472702456582683e-05
22.7441969871521,0.22616975094443548,0.5292649745941163,0.03182971042536383,,1.0,3,5,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-0.02175561643415841,-0.021449146050253807,-0.02153633255583378,-0.021284869540540263,-0.02170299746686012,-0.021545792409529276,0.0001710264906478305,36,-0.014571320545554762,-0.014585291462343018,-0.01457998325341314,-0.014617418787476378,-0.014548036223235403,-0.014580410054404542,2.246927120237161e-05
22.586301422119142,0.17492526250926238,0.5121148586273193,0.004292633010335272,,1.0,3,2,300,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-0.02175561643415841,-0.021449146050253807,-0.02153633255583378,-0.021284869540540263,-0.02170299746686012,-0.021545792409529276,0.0001710264906478305,36,-0.014571320545554762,-0.014585291462343018,-0.01457998325341314,-0.014617418787476378,-0.014548036223235403,-0.014580410054404542,2.246927120237161e-05
11.348049116134643,0.020427580866345458,0.2608653545379639,0.00774828997724683,25,1.0,3,2,150,"{'model__max_depth': 25, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 150}",-0.021742094604335915,-0.021471282985258498,-0.02154576751980136,-0.02132441592228316,-0.021734375785139863,-0.02156358736336376,0.0001594202894005792,38,-0.014588633275166948,-0.014602755532312222,-0.014598652926601256,-0.014635486862165262,-0.014562199962087652,-0.01459754571166667,2.3650169533816194e-05
11.306659698486328,0.11817012986423717,0.264766263961792,0.008609880500891445,25,1.0,3,5,150,"{'model__max_depth': 25, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 150}",-0.021742094604335915,-0.021471282985258498,-0.02154576751980136,-0.02132441592228316,-0.021734375785139863,-0.02156358736336376,0.0001594202894005792,38,-0.014588633275166948,-0.014602755532312222,-0.014598652926601256,-0.014635486862165262,-0.014562199962087652,-0.01459754571166667,2.3650169533816194e-05
11.318594264984132,0.23496370637866473,0.2681433200836182,0.00475531980891552,,1.0,3,5,150,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 150}",-0.02174221770078888,-0.021471389057984566,-0.021545795089065532,-0.021324608638855224,-0.02173419976876673,-0.021563642051092187,0.00015933944814733515,40,-0.014588555202732802,-0.014602710113548035,-0.014598540798894598,-0.014635368705451205,-0.014562069978337798,-0.014597448959792888,2.365396459663457e-05
11.069702768325806,0.34128357751860905,0.2958234786987305,0.029548218581078964,,1.0,3,2,150,"{'model__max_depth': None, 'model__max_features': 1.0, 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 150}",-0.02174221770078888,-0.021471389057984566,-0.021545795089065532,-0.021324608638855224,-0.02173419976876673,-0.021563642051092187,0.00015933944814733515,40,-0.014588555202732802,-0.014602710113548035,-0.014598540798894598,-0.014635368705451205,-0.014562069978337798,-0.014597448959792888,2.365396459663457e-05
8.017360830307007,0.403917999643273,0.48084020614624023,0.03343320990656933,25,sqrt,3,5,300,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-0.021748135815714883,-0.02153140852405344,-0.021683776424666484,-0.02145328227940464,-0.02140666759158202,-0.021564654127084297,0.0001313958567234666,42,-0.0168861053837759,-0.017003538929457173,-0.017004853413885315,-0.016983139819512823,-0.016961006961035894,-0.016967728901533422,4.383073589480016e-05
8.177273845672607,0.4616388764199482,0.46614670753479004,0.00436546530111675,25,sqrt,3,2,300,"{'model__max_depth': 25, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-0.021748135815714883,-0.02153140852405344,-0.021683776424666484,-0.02145328227940464,-0.02140666759158202,-0.021564654127084297,0.0001313958567234666,42,-0.0168861053837759,-0.017003538929457173,-0.017004853413885315,-0.016983139819512823,-0.016961006961035894,-0.016967728901533422,4.383073589480016e-05
8.212248706817627,0.44450029294722715,0.4903259754180908,0.03079549692032985,,sqrt,3,2,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 300}",-0.02174604653267192,-0.02152853678784527,-0.02168494894636091,-0.02145500923706164,-0.021412042744553966,-0.02156531684969874,0.00012960598020380428,44,-0.01688596420751895,-0.01700211050859058,-0.01700578703381023,-0.01698412541374153,-0.016964105662892096,-0.01696841856531068,4.3807708941980705e-05
8.091129255294799,0.49515597259420313,0.4877017974853516,0.031373530461714566,,sqrt,3,5,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 5, 'model__n_estimators': 300}",-0.02174604653267192,-0.02152853678784527,-0.02168494894636091,-0.02145500923706164,-0.021412042744553966,-0.02156531684969874,0.00012960598020380428,44,-0.01688596420751895,-0.01700211050859058,-0.01700578703381023,-0.01698412541374153,-0.016964105662892096,-0.01696841856531068,4.3807708941980705e-05
